14	14_target_Hilton Carter for Target.mp4	154	https://cognitivestudy.blob.core.windows.net/videos/14_target_Hilton Carter for Target.mp4	30050	Hilton Carter for Target Hilton Carter and Target are coming together in a limited-time collection of faux and live plants and accessories, so every home can flourish. Explore the Collection: Arriving May 14 on Target.com and in select stores. Plant enthusiast and interior stylist Hilton Carter is celebrated for his love and advocacy for all things flora. Now this impassioned author, artist and visual	Title
15	15_ford motor company_The 2021 Ford Mach-E_ New Kind of Mustang _ Ford _30.mp4	25	https://cognitivestudy.blob.core.windows.net/videos/15_ford motor company_The 2021 Ford Mach-E_ New Kind of Mustang _ Ford _30.mp4	35040	The 2021 Ford Mach-E: New Kind of Mustang | Ford :30 We made our first all-electric SUV a Mustang. The Mustang Mach-E has a targeted EPA-estimated range of 300 miles with an extended-range battery and RWD.* With the FordPass Charging Network, we will have the largest public charging network in North America.** Imagine how far you can go. *Based on full charge. Actual range varies with conditions such as external environment,	Title
16	16_paypal_PayPal - People Rule 30 Second TV Commercial.mp4	277	https://cognitivestudy.blob.core.windows.net/videos/16_paypal_PayPal - People Rule 30 Second TV Commercial.mp4	30020	PayPal - People Rule 30 Second TV Commercial A girl talking in a white room with sketches of what she says being shown all around her. She explains how different fields of study are difficult and online shopping to with many things to type as she presses keys of a sketch keyboard by stepping on them. This is followed by showing how we can quickly make payments by	Title
17	17_cleveland clinic_Cleveland Clinic Bariatric Surgery.mp4	223	https://cognitivestudy.blob.core.windows.net/videos/17_cleveland clinic_Cleveland Clinic Bariatric Surgery.mp4	30000	Ricard Corcelles, MD | Cleveland Clinic Bariatric Surgery To learn more about Dr. Corcelles, please visit Bariatric surgeon Ricard Corcelles, MD, helps patients control their conditions through surgical intervention. He specializes in laparoscopic and robotic weight loss surgery. Available in Spanish: Share this video with others: Subscribe to learn more about Cleveland Clinic:	Title
18	18_pepsi_PEPSI FOR THE LOVE OF IT NOW UNITED JINGLE.mp4	142	https://cognitivestudy.blob.core.windows.net/videos/18_pepsi_PEPSI FOR THE LOVE OF IT NOW UNITED JINGLE.mp4	18230	Now United – ‘Sundin Ang Puso’ / PEPSI, FOR THE LOVE OF IT (Partner Promo) Now United teamed up with Pepsi in the Philippines to explore the sights, sounds, and tastes of Manila, set to the new Pepsi song For The Love Of It which was localized with the Tagalog chorus Sundin Ang Puso (Follow Your Heart). Go all in ! Choreography by Kyle Hanagami Follow PEPSI at: Follow NOW UNITED at: Instagram: Facebook:	Title
19	19_glossier_Swiss Miss™ Balm Dotcom _ Glossier.mp4	258	https://cognitivestudy.blob.core.windows.net/videos/19_glossier_Swiss Miss™ Balm Dotcom _ Glossier.mp4	15120	Swiss Miss™ Balm Dotcom | Glossier A rich and warm balm that smells Introducing our *new* limited edition Swiss Miss Balm Dotcom just in time for the Glossi-Brrrrrrrr season. Available in stores & on Subscribe to our channel and watch more videos like this: Discover more from Glossier: TikTok: Instagram: Twitter:	Title
20	20_walmart_Don't Miss Out.mp4	55	https://cognitivestudy.blob.core.windows.net/videos/20_walmart_Don't Miss Out.mp4	30050	Don't Miss Out Life is hectic enough! Save time when you get groceries delivered & put away with Walmart+ InHome. Save Money. Live Better.	Title
21	21_burberry_My Burberry Fragrances.mp4	275	https://cognitivestudy.blob.core.windows.net/videos/21_burberry_My Burberry Fragrances.mp4	29770	"My Burberry Fragrances My Burberry fragrances - floral scents, ready to monogram for a truly personal Mother's Day Discover My Burberry brby.co/4bo Music: ""Home From Home"" performed by Roo Panes"	Title
22	22_spotify_❝Music For Every Mood❞ _ SPOTIFY 30-SECOND ADVERTISEMENT.mp4	148	https://cognitivestudy.blob.core.windows.net/videos/22_spotify_❝Music For Every Mood❞ _ SPOTIFY 30-SECOND ADVERTISEMENT.mp4	32650	❝Music For Every Mood❞ | SPOTIFY 30-SECOND ADVERTISEMENT All footage was taken from PEXELS.com. I do not own Spotify and this is not an official Spotify advertisement.	Title
23	23_dunkin_No Apologies _ Dunkin'.mp4	264	https://cognitivestudy.blob.core.windows.net/videos/23_dunkin_No Apologies _ Dunkin'.mp4	30050	No Apologies | Dunkin' People looking seriously at each other while a kid crosses the road. The kid flaunts his pumpkin tshirt and it is reavealed that a person's car has a giant pumpkin on top.	Title
24	24_paypal_Get your summer underway with PayPal.mp4	277	https://cognitivestudy.blob.core.windows.net/videos/24_paypal_Get your summer underway with PayPal.mp4	30000	Get your summer underway with PayPal. From setting the scene to sumptuous sushi, PayPal has lots of ways to help make that first date one to remember.	Title
26	26_chanel_N°5 Comes in Red for a Limited Edition – CHANEL Fragrance.mp4	138	https://cognitivestudy.blob.core.windows.net/videos/26_chanel_N°5 Comes in Red for a Limited Edition – CHANEL Fragrance.mp4	15000	N°5 Comes in Red for a Limited Edition – CHANEL Fragrance For the first time ever and for a limited time only, N5 comes in red. Discover N5 LIMITED EDITION. Timeless and ephemeral. Water and fire. You know me and you dont. For more videos, subscribe to our channel: Go to our website: Find us also on:	Title
27	27_burts bees_Burt's Bees Pop of Color.mp4	179	https://cognitivestudy.blob.core.windows.net/videos/27_burts bees_Burt's Bees Pop of Color.mp4	15020	Burt's Bees Pop of Color Give your lips a pop of color this Valentine's Day with our line of layer-licious lip color products! Because every knows that bees love lips. To find your own natural pop of color, visit natureknowscolor.com.	Title
28	28_cheetos_It's a Cheetos Thing®.mp4	72	https://cognitivestudy.blob.core.windows.net/videos/28_cheetos_It's a Cheetos Thing®.mp4	15160	It's a Cheetos Thing® A cheeta making a diss track about other mac and cheese being the same showing the different flavors they offer.	Title
29	29_frito lay_Melt for You _ 0_30.mp4	79	https://cognitivestudy.blob.core.windows.net/videos/29_frito lay_Melt for You _ 0_30.mp4	30050	Melt for You | 0:30 Join snow friends Chip, Sleet, Ava, Slush and Flurry as they celebrate the holiday season with their favorite Pepsi beverages and Frito-Lay snacks and Share More Joy	Title
30	30_mac cosmetics_MAC The Moment _ MAC Cosmetics.mp4	256	https://cognitivestudy.blob.core.windows.net/videos/30_mac cosmetics_MAC The Moment _ MAC Cosmetics.mp4	35460	MAC The Moment | MAC Cosmetics Theres no place While youve been staying in, weve been going ALL OUT innovating new products, starting new trends and developing new services exclusively for you. Where are you going? What look do you want to achieve? Lets together. Discover	Title
31	31_the farmer's dog_Healthy Habits _ The Farmer's Dog.mp4	215	https://cognitivestudy.blob.core.windows.net/videos/31_the farmer's dog_Healthy Habits _ The Farmer's Dog.mp4	30050	"Healthy Habits | The Farmer's Dog Eating healthy is hard. Unless, you happen to be a dog. This year, invest in your dog's long-term health with human-grade food from The Farmer's Dog. It's not ""wet"" or ""dry"" food. It's real food for dogs who really love being healthy. To learn more about us and build your dog's fresh food plan, visit: trythefarmersdog.com"	Title
32	32_the body shop_Falling For You _ Most Loved at Lesser Prices _ Available at just Rs. 595.mp4	112	https://cognitivestudy.blob.core.windows.net/videos/32_the body shop_Falling For You _ Most Loved at Lesser Prices _ Available at just Rs. 595.mp4	15950	Falling For You | Most Loved at Lesser Prices | Available at just Rs. 595 Treat yourself with the power of nature-inspired products! Now available at lesser prices, for good. Grab the most iconic haircare and facewashes from The Body Shop @ FLAT 595*. Log on to our website NOW	Title
33	33_fitbit (can get more but could get repititive)_Inspire Better Health with Gifts from Fitbit.mp4	30	https://cognitivestudy.blob.core.windows.net/videos/33_fitbit (can get more but could get repititive)_Inspire Better Health with Gifts from Fitbit.mp4	30050	Inspire Better Health with Gifts from Fitbit Give what matters to the ones who matter most. Shop gifts that connect your favorite people to their health and help them feel their best. Plus, get a free Premium trial on select products for new users at fitbit.com.	Title
34	34_kfc_KFC _ H.A.R.L.A.N.D _ National Fried Chicken Day.mp4	60	https://cognitivestudy.blob.core.windows.net/videos/34_kfc_KFC _ H.A.R.L.A.N.D _ National Fried Chicken Day.mp4	34090	KFC | H.A.R.L.A.N.D | National Fried Chicken Day Happy N.F.C.D. from H.A.R.L.A.N.D. (the terrifyingly advanced drive-thru robot).	Title
36	36_redbull_Table.mp4	129	https://cognitivestudy.blob.core.windows.net/videos/36_redbull_Table.mp4	15000	Table Red Bull Gives You Wiiings	Title
37	37_burger king_Burger King Full Meals _15 TV Commercial.mp4	246	https://cognitivestudy.blob.core.windows.net/videos/37_burger king_Burger King Full Meals _15 TV Commercial.mp4	15020	Burger King Full Meals :15 TV Commercial Musical rap showing off their burgers and different sides followed by people eating.	Title
38	38_ferrero_Introducing…Ferrero Rocher Bars.mp4	22	https://cognitivestudy.blob.core.windows.net/videos/38_ferrero_Introducing…Ferrero Rocher Bars.mp4	15020	Introducing…Ferrero Rocher Bars Introducing the Ferrero Rocher Chocolate Bar. The same Ferrero Rocher you know and love, now in a chocolate bar.	Title
40	40_skechers_Skechers Kids Stretch Fit Commercial.mp4	189	https://cognitivestudy.blob.core.windows.net/videos/40_skechers_Skechers Kids Stretch Fit Commercial.mp4	15020	Skechers Kids Stretch Fit Commercial Kids play hard and grow fast so theyll need footwear that can keep up with them. Skechers Stretch Fit are durable, comfy and stretchythe perfect pair to wear everywhere! Designed to move with your kids these styles feature a soft breathable knitted fabric and flexible material for a perfect fit, plus theyre machine washable too! Get your kids Skechers Stretch	Title
41	41_l'oreal paris_L’Oréal Paris EverPure Sulfate Free Hair Care_ Care for Color Treated Hair.mp4	85	https://cognitivestudy.blob.core.windows.net/videos/41_l'oreal paris_L’Oréal Paris EverPure Sulfate Free Hair Care_ Care for Color Treated Hair.mp4	15020	L’Oréal Paris EverPure Sulfate Free Hair Care: Care for Color Treated Hair Color-treated hair requires special care. EverPure is especially gentle on color with no harsh sulfates, salts or surfactants that can strip, dull and damage hair. 100% Sulfate Free, Paraben Free, No Harsh Salts, Vegan. Validated by hair colorists. Try our NEW EverPure Bond Strengthening System to strengthen weak hair bonds. This sulfate-free shampoo and fortifying conditioner strengthens hair inside &	Title
42	42_skechers_Skechers Arch Fit commercial.mp4	189	https://cognitivestudy.blob.core.windows.net/videos/42_skechers_Skechers Arch Fit commercial.mp4	15020	Skechers Arch Fit commercial Get the support youre looking for in footwear with Skechers Arch Fit. Every pair offers incredible support that cant be found anywhere else. Innovative Arch Fit technology features a patented design that offers podiatrist-certified arch support developed using over 20 years of data. And theyre machine washable too! Experience the ultimate solution for all-day comfortonly with Skechers Arch Fit. Check	Title
43	43_lexus(all vids are unique but only lexus splash screen after 28 sec)_The L_Certified Lexus of Your Dreams _ Lexus.mp4	103	https://cognitivestudy.blob.core.windows.net/videos/43_lexus(all vids are unique but only lexus splash screen after 28 sec)_The L_Certified Lexus of Your Dreams _ Lexus.mp4	45050	The L/Certified Lexus of Your Dreams | Lexus L/Certified by Lexus might make you wonder if youre dreamingwith an unlimited-mileage warranty for up to six years, a complimentary maintenance plan and being named Best CPO Program by U.S. News & World Report for six years running. Find your dream car with L/Certified by Lexusexclusively at your Lexus dealer. This is the official YouTube account for Lexus USA. Subscribe	Title
44	44_tesla_Introducing Model Y.mp4	50	https://cognitivestudy.blob.core.windows.net/videos/44_tesla_Introducing Model Y.mp4	25030	Introducing Model Y Design your Model Y	Title
45	45_prada_Prada Spring_Summer 2015 Eyewear Campaign.mp4	42	https://cognitivestudy.blob.core.windows.net/videos/45_prada_Prada Spring_Summer 2015 Eyewear Campaign.mp4	26660	Prada Spring/Summer 2015 Eyewear Campaign Prada unveils the new Spring/Summer 2015 womens eyewear collection made from black walnut and Malabar ebony woods.	Title
46	46_skechers_Skechers Sandals Commercial.mp4	189	https://cognitivestudy.blob.core.windows.net/videos/46_skechers_Skechers Sandals Commercial.mp4	15070	Skechers Sandals Commercial Summer just got even more fun with our new Skechers collection of sandals for summer! From water-friendly slides to flirty wedges and rugged outdoor looks, Skechers has every kind of sandal under the sun for your warm weather stride. Plus Skechers legendary comfort technology makes every step even sweeter! Slip in and cool off in everything Skechers. Shop Skechers sandals	Title
47	47_mccain_McCain and Family Fund_ Little Moments TV Advert 30 Seconds.mp4	104	https://cognitivestudy.blob.core.windows.net/videos/47_mccain_McCain and Family Fund_ Little Moments TV Advert 30 Seconds.mp4	30050	McCain and Family Fund: Little Moments TV Advert 30 Seconds The 30 second TV advert for our 'Little Moments' campaign, as part of our partnership with McCain.	Title
48	48_frito lay_Frito-Lay _ ‘Twas the Night Before Super Bowl _ _30.mp4	79	https://cognitivestudy.blob.core.windows.net/videos/48_frito lay_Frito-Lay _ ‘Twas the Night Before Super Bowl _ _30.mp4	30050	Frito-Lay | ‘Twas the Night Before Super Bowl | :30 Its Super Bowl LVI time! Stock up on your favorite Frito-Lay snacks before kick off!	Title
49	49_mcdonalds_McDonald's Buy One, Get One for $1 - Backup McNuggets.mp4	204	https://cognitivestudy.blob.core.windows.net/videos/49_mcdonalds_McDonald's Buy One, Get One for $1 - Backup McNuggets.mp4	15020	McDonald's Buy One, Get One for $1 - Backup McNuggets Buy one favorite and get another for just $1, right now at McDonald's.	Title
50	50_kelloggs_Kellogg’s Chocos Fills Excuses _ English _ 25secs.mp4	161	https://cognitivestudy.blob.core.windows.net/videos/50_kelloggs_Kellogg’s Chocos Fills Excuses _ English _ 25secs.mp4	25010	Kellogg’s Chocos Fills Excuses | English | 25secs 	Title
52	52_sap concur_SAP Concur solutions_ Wine.mp4	47	https://cognitivestudy.blob.core.windows.net/videos/52_sap concur_SAP Concur solutions_ Wine.mp4	15070	SAP Concur solutions: Wine Simplify your business finances with SAP Concur solutions - leaving you time for the work that matters most.	Title
53	53_mastercard_MasterCard_ Days That Change Everything (Canadian Tire).mp4	252	https://cognitivestudy.blob.core.windows.net/videos/53_mastercard_MasterCard_ Days That Change Everything (Canadian Tire).mp4	31970	MasterCard: Days That Change Everything (Canadian Tire) Turning the everyday into days that change everything is priceless. No credit card is more accepted than MasterCard. With MasterCards industry-leading features, you can shop confidently knowing your credit card is accepted everywhere, and proudly accepted at Canadian Tire.	Title
54	54_skechers_Skechers GO WALK Pants commercial.mp4	189	https://cognitivestudy.blob.core.windows.net/videos/54_skechers_Skechers GO WALK Pants commercial.mp4	15020	Skechers GO WALK Pants commercial Introducing Skechers GO WALK Pantsmade with the cotton soft feel of Skechers GOflex fabric. These full length 4-way stretch pants are breathable, have a double layer midrise waist band and four exterior pockets. Look great and feel comfortable in Skechers GO WALK Pantsmade to fit every body! Check out the entire collection of Skechers apparel for women at: Like and	Title
55	55_southwest airlines_Southwest Airlines Wanna Get Away Commercial I Am Fenwick.mp4	214	https://cognitivestudy.blob.core.windows.net/videos/55_southwest airlines_Southwest Airlines Wanna Get Away Commercial I Am Fenwick.mp4	29160	Southwest Airlines Wanna Get Away Commercial I Am Fenwick Spartacus parody	Title
56	56_jack in the box_$10 Fan Favs Box _ Idea _ Jack in the Box.mp4	248	https://cognitivestudy.blob.core.windows.net/videos/56_jack in the box_$10 Fan Favs Box _ Idea _ Jack in the Box.mp4	15020	Jack in the Box $10 Fan Favs Box Idea A person is in the lift with a snowman head pitching an idea where he is interrupted with the idea of the snowman. This is followed by close up shots of the food items being dropped into the box.	Title
57	57_dunkin_Dunkin’ Go2s “Our Newest 2” _15.mp4	264	https://cognitivestudy.blob.core.windows.net/videos/57_dunkin_Dunkin’ Go2s “Our Newest 2” _15.mp4	15020	Dunkin’ Go2s “Our Newest 2” :15 Dunkin Go2s are a great deal for $2, $4, $5, and now $3! Get 2 Sausage, Egg, and Cheese Wraps for $3.	Title
58	58_the coffee bean and tea leaf_The Original Ice Blended® Drink Turns 30.mp4	43	https://cognitivestudy.blob.core.windows.net/videos/58_the coffee bean and tea leaf_The Original Ice Blended® Drink Turns 30.mp4	30000	The Original Ice Blended® Drink Turns 30 The Original Ice Blended drink is turning 30! Find a Coffee Bean location near you: Like us on Facebook: Follow us on Instagram:	Title
59	59_audi_The all new Audi e-tron S prototype _ quattro drift.mp4	206	https://cognitivestudy.blob.core.windows.net/videos/59_audi_The all new Audi e-tron S prototype _ quattro drift.mp4	43930	The all new Audi e-tron S prototype | quattro drift Push the limits with the all new Audi S prototype and drift into the next level of our electric evolution. Stay tuned for news from the Audi Universe: Audi.com: Audi MediaCenter: Facebook: Twitter: LinkedIn: Instagram:	Title
60	60_ikea_Everyday situations. Everyday solutions..mp4	128	https://cognitivestudy.blob.core.windows.net/videos/60_ikea_Everyday situations. Everyday solutions..mp4	15000	Everyday situations. Everyday solutions. We've got everyday solutions for homes with everyday situations. Find this and many other storage and organising solutions at IKEA. Visit the store in Navi Mumbai, Worli or Hyderabad, or	Title
61	61_walmart_Unexpected Expenses.mp4	55	https://cognitivestudy.blob.core.windows.net/videos/61_walmart_Unexpected Expenses.mp4	15020	Unexpected Expenses No surprises here. Get free grocery delivery with no unexpected markups when you join Walmart+ Save Money. Live Better.	Title
62	62_bath & body works_Shower Your Skin in Bubbly Lather with Shower Gel.mp4	169	https://cognitivestudy.blob.core.windows.net/videos/62_bath & body works_Shower Your Skin in Bubbly Lather with Shower Gel.mp4	14720	Shower Your Skin in Bubbly Lather with Shower Gel! A person puts showergel on the lufa and squeezes it in the shower to make it lather. She then proceeds to bath with the same.	Title
63	63_fitbit (can get more but could get repititive)_The Blue Whale - It All Fits Together - Fitbit.mp4	30	https://cognitivestudy.blob.core.windows.net/videos/63_fitbit (can get more but could get repititive)_The Blue Whale - It All Fits Together - Fitbit.mp4	30050	The Blue Whale - It All Fits Together - Fitbit When you change your health and fitness, you change your life. Learn more about your sleep, nutrition, stress and activityand see how it all fits together on Fitbit.	Title
64	64_boars head_Boar's Head Dark Chocolate Dessert Hummus.mp4	186	https://cognitivestudy.blob.core.windows.net/videos/64_boars head_Boar's Head Dark Chocolate Dessert Hummus.mp4	15020	Boar's Head Dark Chocolate Dessert Hummus Strawberry eing dipped in chocolate hummus followed by close up scene of chocolate flowing and an explosion of cocoa powder.	Title
65	65_skechers_Skechers Energy commercial.mp4	189	https://cognitivestudy.blob.core.windows.net/videos/65_skechers_Skechers Energy commercial.mp4	15020	Skechers Energy commercial Celebrating its 20th anniversary, the iconic Skechers Energy sneaker is wowing the world once again! The classic colors are back along with fresh new designs, making Skechers Energy that Timeless Vision that easily completes your favorite look. Featuring a red, white and blue SKX, it feels so good to rock this original Americana style. Check out the entire Skechers collection	Title
67	67_lowes home improvement_lowes imp.mp4	279	https://cognitivestudy.blob.core.windows.net/videos/67_lowes home improvement_lowes imp.mp4	30090	"Lowe's | ""Our Priority"" Air Date: 6/7/2020"	Title
68	68_burberry_Introducing Burberry Eyes.mp4	275	https://cognitivestudy.blob.core.windows.net/videos/68_burberry_Introducing Burberry Eyes.mp4	35290	Introducing Burberry Eyes Discover Suki Waterhouse wearing the new signature make-up look created for the Prorsum runway - featuring naturally sculpted brows, a defined, open eye and enhanced lashes Music: 'Striptease' performed by FURS Discover more:	Title
69	69_rolex_Rolex Datejust 36.mp4	58	https://cognitivestudy.blob.core.windows.net/videos/69_rolex_Rolex Datejust 36.mp4	30050	Rolex Datejust 36 The fluted motif on the golden dial of the Oyster Perpetual Datejust 36 showcases the pattern found on a range of Rolex bezels that has become one of the brand's signature aesthetic styles. In a yellow Rolesor version (combining Oystersteel and yellow gold), this watch is fitted with a Jubilee bracelet. Discover more	Title
70	70_coca cola_COCA-COLA Emoticons.mp4	267	https://cognitivestudy.blob.core.windows.net/videos/70_coca cola_COCA-COLA Emoticons.mp4	44980	COCA-COLA Emoticons Whether youre feeling crazy, fired up, happy or even a little shy, theres a COCA-COLA for you and your friends to make every barkada moment more special. Grab a COCA-COLA Emoticon to share and	Title
71	71_nescafe_Nestlé a Nourish Milk_ 61 Quality Checks.mp4	74	https://cognitivestudy.blob.core.windows.net/videos/71_nescafe_Nestlé a Nourish Milk_ 61 Quality Checks.mp4	22520	Nestlé a+ Nourish Milk: 61 Quality Checks Dont choose your milk blindly. Check your pack for its quality checks. Nestl a+ Nourish milk goes through 61 extensive quality checks. Switch today.	Title
72	72_humana_Rethinking the Future of Healthcare _ Humana.mp4	181	https://cognitivestudy.blob.core.windows.net/videos/72_humana_Rethinking the Future of Healthcare _ Humana.mp4	34710	Rethinking the Future of Healthcare | Humana Before the global pandemic and stay-at-home orders, Humana was rethinking the future of health care. Our focus on people, choice, engagement and innovation guides our business practices and decision-making. In addition to group health	Title
73	73_rolex_Rolex Cosmograph Daytona.mp4	58	https://cognitivestudy.blob.core.windows.net/videos/73_rolex_Rolex Cosmograph Daytona.mp4	30000	Rolex Cosmograph Daytona The Oyster Perpetual Cosmograph Daytona in 18ct white gold featuring a dial made from metallic meteorite a rare natural material from outer space with black chronograph counters at 3, 6 and 9 o'clock. It is fitted with a monobloc Cerachrom bezel in black ceramic with a tachymetric scale, and an Oysterflex bracelet. Discover more	Title
75	75_monster_MONSTER COMMERCIAL (30 SECONDS).mp4	14	https://cognitivestudy.blob.core.windows.net/videos/75_monster_MONSTER COMMERCIAL (30 SECONDS).mp4	33040	"MONSTER COMMERCIAL (30 SECONDS) Showcase of different colour cans from the brand which contained slow motion shots and closeup on the pring of the cans as it changed colour. The last scene had a can with the text around it saying ""release the monster in you""."	Title
76	76_prada_PRADA INSIDE BAG.mp4	42	https://cognitivestudy.blob.core.windows.net/videos/76_prada_PRADA INSIDE BAG.mp4	33340	PRADA INSIDE BAG The Prada Inside Bag. An iconic new design with a secret Prada twist at its core: a carefully concealed twin bag within its supple architecture. At once playful and seductive, graceful and subversive, it seamlessly blends rich tradition with daring originality.	Title
79	79_louis vuitton_Louis Vuitton Cruise 2019 Campaign _ LOUIS VUITTON.mp4	23	https://cognitivestudy.blob.core.windows.net/videos/79_louis vuitton_Louis Vuitton Cruise 2019 Campaign _ LOUIS VUITTON.mp4	38520	Louis Vuitton Cruise 2019 Campaign | LOUIS VUITTON Alicia Vikander for Cruise. The Swedish actress wears the Louis Vuitton Collection in the new campaign photographed by Craig McDean. See more at Music: Fossils by Ben Chatwin taken from Staccato Signals, courtesy of Village Green Recordings ABOUT LOUIS VUITTON Since 1854, Louis Vuitton has placed fashion in the context of culture bringing unique designs to the world, combining innovation	Title
80	80_audi_Trailer 2019 #Audi #Q7 _ The next level of the Audi Q7.mp4	206	https://cognitivestudy.blob.core.windows.net/videos/80_audi_Trailer 2019 #Audi #Q7 _ The next level of the Audi Q7.mp4	38340	Trailer 2019 #Audi #Q7 | The next level of the Audi Q7 More powerful, more dynamic, more cutting edge: The updated comes at you with the new of the Q family, excellent comfort, mild and high-end Take a look at all the new features: Stay tuned for news from the Audi Universe: Audi.com: Audi MediaCenter: Facebook: Twitter: Linkedin: Instagram:	Title
82	82_solarcity_Solar Myths -- You need big money!.mp4	121	https://cognitivestudy.blob.core.windows.net/videos/82_solarcity_Solar Myths -- You need big money!.mp4	36220	Solar Myths -- You need big money! People telling how it didnt cost us a lot of money to install solar power.	Title
83	83_brainly(is it tech sector b2c)_Brainly Keep Learning 30sec Final 16x9.mp4	137	https://cognitivestudy.blob.core.windows.net/videos/83_brainly(is it tech sector b2c)_Brainly Keep Learning 30sec Final 16x9.mp4	30050	Brainly  Keep Learning 30sec Final   16x9 From Zoom to classroom, Brainly takes kids from questioning to understanding.	Title
84	84_brooks running_Find your cushy place in the Brooks Ghost 15.mp4	75	https://cognitivestudy.blob.core.windows.net/videos/84_brooks running_Find your cushy place in the Brooks Ghost 15.mp4	15020	Find your cushy place in the Brooks Ghost 15 Step into softness in the Ghost 15 featuring lightweight DNA LOFT v2 midsole technology. Learn more at .	Title
85	85_jack in the box_Jack Loves Trees.mp4	248	https://cognitivestudy.blob.core.windows.net/videos/85_jack in the box_Jack Loves Trees.mp4	18200	Jack Loves Trees The new Pineapple Express Shake is a hybrid of deliciousness available all April long. This deliciously sweet shake is only available for a limited time. And just for this euphoric day, all 24-ounce (large) shakes are just $4.20 on Doordash, Uber Eats, Postmates, and Grubhub. And for every Pineapple Express Shake ordered on 4/20, Jack will donate $1 towards planting	Title
